DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBILIDAD,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
ENCUESTA SEMESTRAL DE PERCEPCIÓN DE RIESGOS SOBRE EL SISTEMA FINANCIERO,COLOMBIA,,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,ENCUESTA POR MUESTREO,"Esta encuesta busca identificar la visión de diferentes agentes de la economía frente a los más importantes riesgos y vulnerabilidades que enfrenta el sector financiero, y evaluar cuál es el nivel de confianza que tienen la estabilidad del mismo.",,,,Riesgos de mayor impacto y probabilidad de ocurrencia*nivel de confianza en el sistema financiero,Principales fuentes de riesgos: por sector y por riesto*Mapas de riesgos con las vulnerabilidades de mayor impacto y probabilidad por total entidades*establecimientos de crédito y por fuente de riesgo,Nacional,,,,,Semestral,,,Publico general,,
ENCUESTA SOBRE AMBIENTE Y DESEMPEÑO INSTITUCIONAL DEPARTAMENTAL (EDID),COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,Conocer la percepción de los servidores públicos sobre el ambiente y el desempeño institucional de las entidades del orden nacional en las que prestan sus servicios.,,,,percepción del funcionario frente al ambiente y desempeño*institucional en términos de credibilidad en las reglas*credibilidad en las políticas*Suficiencia de recursos y previsibilidad*gestión por resultados*rendición de cuentas*bienestar laboral y prevención de prácticas irregulares,En los informes publicados se proporcionan dos tipos de indicadores*El primer tipo son dos estadísticos que evalúan las respuestas a las preguntas individuales. Uno de los estadísticos consiste en la distribución de frecuencias relativas porcentuales de las respuestas y el otro es un promedio aritmético basado en puntajes de favorabilidad asignados a cada respuesta posible*El segundo tipo de indicador intenta evaluar las respuestas de un conjunto de preguntas que tienen en común un tema específico (por ejemplo el ambiente institucional). Este tipo de indicadores sintéticos son prácticamente los mismos que los de preguntas individuales. En el caso de la distribución de la frecuencia relativa porcentual. La diferencia radica en la clasificación que se le da a las posibles respuestas. Pues cada respuesta * dependiendo del contexto de la pregunta se le clasifica en cuatro niveles de favorabilidad:(Totalmente favorable*favorable*desfavorable*totalmente desfavorable).En el caso del promedio se construye el promedio de promedios de preguntas individuales que es igual al promedio aritmético de los puntajes de favorabilidad para todas las respuestas de todas las preguntas del tema en específico,No aplica,SI,XLS,http://www.dane.gov.co/index.php/estadisticas-por-tema/gobierno/encuesta-sobre-ambiente-y-desempeno-institucional-departamental-edid/encuesta-sobre-ambiente-y-desempeno-institucional-departamental-edid-2015-anexos,22/08/2016,Anual,2015,,Entidades Oficiales Nacionales y Regionales * Centros de investigación * ONG´S. (Departamento Administrativo de la Función Pública DAFP * Presidencia de la Republica - Secretaria de Transparecnia * Procuraduría Genernal de la Nación PGN -Procuraduria delegada para la descentralización territorial * Departamento Nacional de Planeación DNP Servicio al ciudadano * Universidad de los Andes - Escuela de Gobierno Alberto Lleras Camargo.),,
ENCUESTA SOBRE AMBIENTE Y DESEMPEÑO INSTITUCIONAL NACIONAL (EDI),COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,DEPARTAMENTO ADMINISTRATIVO NACIONAL DE ESTADÍSTICA (DANE),ENCUESTA POR MUESTREO,Conocer la percepción de los funcionarios territoriales sobre el ambiente y el desempeño institucional en las 32 Gobernaciones y el Distrito Capital en las que prestan sus servicios.,,,,percepción del funcionario frente al ambiente y desempeño*institucional en términos de credibilidad en las reglas*credibilidad en las políticas*Suficiencia de recursos y previsibilidad*gestión por resultados*rendición de cuentas*bienestar laboral y prevención de prácticas irregulares,En los informes publicados se proporcionan dos tipos de indicadores*El primer tipo son dos estadísticos que evalúan las respuestas a las preguntas individuales. Uno de los estadísticos consiste en la distribución de frecuencias relativas porcentuales de las respuestas y el otro es un promedio aritmético basado en puntajes de favorabilidad asignados a cada respuesta posible*El segundo tipo de indicador intenta evaluar las respuestas de un conjunto de preguntas que tienen en común un tema específico (por ejemplo el ambiente institucional). Este tipo de indicadores sintéticos son prácticamente los mismos que los de preguntas individuales. En el caso de la distribución de la frecuencia relativa porcentual. La diferencia radica en la clasificación que se le da a las posibles respuestas. Pues cada respuesta * dependiendo del contexto de la pregunta se le clasifica en cuatro niveles de favorabilidad:(Totalmente favorable*favorable*desfavorable*totalmente desfavorable).En el caso del promedio se construye el promedio de promedios de preguntas individuales que es igual al promedio aritmético de los puntajes de favorabilidad para todas las respuestas de todas las preguntas del tema en específico,No aplica,SI,XLS,http://www.dane.gov.co/index.php/estadisticas-por-tema/gobierno/encuesta-sobre-ambiente-y-desempeno-institucional-nacional-edi/encuesta-sobre-ambiente-y-desempeno-institucional-nacional-edi-2015-anexos,22/08/2016,Anual,2015,,Centros de investigación * ONG´S. (Departamento Administrativo de la Función Pública * Presidencia de la Republica Secretaria de Transparecnia * PGN Procuraduria delegada para la descentralización territorial * Departamento Nacional de Planeación DNP Servicio al ciudadano * Universidad de los Andes - Escuela de Gobierno Alberto Lleras Camargo.),,
ENCUESTA TRIMESTRAL DE ENDEUDAMIENTO EXTERNO,COLOMBIA,,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,ENCUESTA POR MUESTREO,"Conocer la percepción que tienen las entidades financieras locales sobre el acceso, dinámica y características del endeudamiento externo de los sectores financiero y real.",,,,Cupos y saldos de endeudamiento*oferta externa*plazo y taza de interés de los créditos externos a bancos locales*fuentes de fondeo de corto y largo plazo*demanda local de crédito en moneda extranjera (M/E)*condiciones y exigencias del crédito al sector real,Saldos de endeudamiento externo*concentración de fuentes de fondeo de corto y largo plazo*redes de endeudamiento externo.,Nacional,,,,,Trimestral,,,Publico general,,
ENCUESTA TRIMESTRAL DE EXPECTATIVAS ECONÓMICAS,COLOMBIA,,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,ENCUESTA POR MUESTREO,"Informar trimestralmente las expectativas de los seis sectores económicos que se trabajan respecto a las expectativas de inflación, tasa de cambio, crecimiento economico, planta de personal y DTF",,,,"Expectativas de inflación a 3, 6, 9 y 12 meses*expectativas tasa de cambio*expectativas crecimiento planta de personal*expectativas crecimiento económico*expectativa DTF, crédito y liquidez",Expectativas inflación*expectativas tasa representativa mercado*expectativas crecimiento económico*expectativa crecimiento planta personal*DTF*créditos y liquidez,Nacional,,,,,Trimestral,,,Sector financiero * público en general,,
ENCUESTA TRIMESTRAL SOBRE LA SITUACIÓN DEL CRÉDITO EN COLOMBIA,COLOMBIA,,,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,ENCUESTA POR MUESTREO,Conocer la percepción que tienen los intermediarios financieros sobre el comportamiento y evolución del crédito.,,,,Percepción de oferta y demanda (por establecimiento de crédito* tipo de cartera*sectores económicos y tamaño de empresas)*condiciones y exigencias del crédito y medidas de restructuración,Indicador líder de oferta y demanda de crédito*modalidades y montos de reestructuración de créditos.,Nacional,,,,,Trimestral,,,Publico general,,
ENCUESTA TRIMESTRAL SOBRE LA SITUACIÓN DEL MICROCRÉDITO EN COLOMBIA,COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,BANCO DE LA REPÚBLICA DE COLOMBIA,ENCUESTA POR MUESTREO,Conocer la percepción que tienen los intermediarios financieros sobre el comportamiento del microcrédito en los últimos tres meses y sus expectativas para el próximo trimestre,,,,Percepción de demanda agregada y por sector económico*condiciones y exigencias para otorgar nuevos microcréditos*medidas de restructuración*morosidad y venta de la cartera,Indicador de percepción de demanda ponderado y de cambio en las exigencias para otorgar nuevos préstamos,Nacional,SI,PDF,http://www.banrep.gov.co/es/encuesta-microcredito,23/08/2016,Trimestral,jun.-16,,Publico general,,
ENTRADA Y SALIDA DE PERSONAS DEL PAÍS,COLOMBIA,10 REDUCCIÓN DE LAS DESIGUALDADES,,SECTOR PÚBLICO,UNIDAD ADMINISTRATIVA ESPECIAL MIGRACIÓN COLOMBIA,REGISTRO ADMINISTRATIVO,"Contar con información acerca del ingreso y salida de extranjeros y colombianos del país, controlando el cumplimiento de los requisitos legalmente establecidos",,,,Tipo de documento*entrada o salida*Fecha de viaje*punto de control migratorio*fecha de nacimiento*fecha expedición de visa*sexo*ocupación*Número de viaje*motivo de viaje*país de residencia*país destino o procedencia*medio de transporte*tipo de visa*nacionalidad*país de nacimiento*país expedición de pasaporte*país expedición de visa*país escala,La tasa de crecimiento es un indicador fundamental para determinar la variación que ha tenido el flujo migratorio de un periodo determinado frente al mismo de un año pasado o frente al mes anterior del mismo año y así llevar un seguimiento del comportamiento del mismo. La formula que se aplica para es la siguiente: [(Vt-Vi)/Vi]*100 donde Vt es el dato final y Vi es el dato inicial.La participación es un indicador que muestra como se distribuyen los flujos migratorios a través de las categorías de una variable * esta definida como sigue (Pi/T) donde Pi es el total de flujos dentro de una categoría y T es la suma de los flujos de todas las categorías,Nacional*Departamental*Municipal,,,,,Anual Mensual Semestral,,,Diferentes entes del Sector público * sector privado * como tambien invetigadores academicos,,
ERRADICACIÓN DE CULTIVOS ILÍCITOS,COLOMBIA,,,SECTOR PÚBLICO,MINISTERIO DE JUSTICIA Y DEL DERECHO,REGISTRO ADMINISTRATIVO,Contar con información sobre la cantidad de hectáreas erradicadas o asperjadas de cultivos ilícitos que llevan a cabo las fuerzas armadas y la Unidad Administrativa para la Consolidación Territorial - UACT,,,,Código divipola departamento y municipio*cantidad de hectáreas de cultivos ilícitos*método de erradicación*tipo de cultivos erradicados*año,Hectáreas erradicadas por año*hectáreas erradicadas por tipo de intervención*por tipo de cultivo ilícito*por departamento y municipio,Nacional*Departamental*Municipal,,,,,Anual,,,"Investigadores * Academia * Oficina de la Naciones Unidas Contra la Droga y el Delito - UNODC *
 Sistema Integrado de Monitoreo de Cultivos Ilícitos - SIMCI * Unidad Administrativa para la Consolidación Territorial - UACT * Policía Nacional - PONAL * Ministerio de Justicia y del Derecho - MJD * Ministerio de Defensa Nacional -MDN",,
ESATDÍSTICAS DEL REGISTRO NACIONAL PALMICULTOR,COLOMBIA,,,SOCIEDAD CIVIL,FEDERACIÓN NACIONAL DE CULTIVADORES DE PALMA DE ACEITE (FEDEPALMA),REGISTRO ADMINISTRATIVO,Identificar la ubicación y área sembrada de palma de los palmicultores registrados,,,,Área sembrada*ubicación,Área sembrada nacional de los palmeros registrados nacional y por zonas,Nacional*Departamental*Municipal,,,,,Anual,,,Internos: Usuarios Federación Nacional de Cultivadores de Palma y Corporación Centro de Investigación en Palma de Aceite Cenipalma.,,
ESCENARIOS DEL PLAN DE ABASTECIMIENTO DE COMBUSTIBLES LÍQUIDOS,COLOMBIA,,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Proyectar la oferta de combustibles líquidos necesaria, para un adecuado abastecimiento en el país.",,,,"Capacidad de almacenamiento*Capacidad de transporte*Costos de poliductos*Costos de transporte terreste* marítimo y fluvial""*Costos indicativos de infraestructura (loops y bombeo)*Preciosnes en poliductos y bacheo tipico*Exportaciones de combustibles líquidos*Producción",Consumo de combustible líquidos y Gas Natural agregado por planta o nodo según el caso (Series de tiempo)*Emisiones atmosféricas relacionadas con el tipo de combustible usado (Series de tiempo)*Evolución de la Confiabilidad de abastecimiento de combustibles líquidos y gas Natural (Series de tiempo)*Probabilidad de expansión de cobertura de gas combustible*Probabilidad de producción por campo a de gas natural a nivel nacional (Series de tiempo),Nacional,,,,,Anual,,,Publico en general ( Academia * Entidades Públicas y Privadas,,
ESCENARIOS DEL PLAN DE EXPANSIÓN DE REFERENCIA GENERACIÓN-TRANSMISIÓN,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Proyectar la oferta de energía eléctrica necesaria, para un adecuado abastecimiento de energía en el país y excedentes para exportación",,,,"Proyección de precios de Gas Natural Mensual*Proyección de precios de Combustibles líquidos*Mensual*Proyección de precios de Carbón Mineral, Mensual*Proyectos de construcción y expansión definida por el mecanismo del Cargo por Confiabilidad*Información histórica caudales aportantes a las plantas del SIN*Mensual",Proyecciones de la generación eléctrica agregada por recurso y por planta (Series de tiempo)*Proyección del costo marginal de la demanda (Series de tiempo).Proyección del consumo de combustible agregado por recurso y por planta (Series de tiempo)*Proyección de las emisiones de CO2 (Series de tiempo)*Evolución de la Confiabilidad Energética (Series de tiempo)*Proyección de los intercambios de energía con nuestros países vecinos y áreas del SIN colombiano (Series de tiempo).,Nacional*Regional,,,,,Anual,,,Publico en general (Academia * Entidades Públicas y Privadas),,
ESCENARIOS DEL PLAN INDICATIVO DE ABASTECIMIENTO DE GAS NATURAL,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Proyectar la oferta de gas natural necesaria, para un adecuado abastecimiento en el país.",,,,Producción*Consumos históricos*Actualización de capacidades de gasoductos*Distribución de Campos (conexiones)*Costos indicativos de infraestructura*compresión y loops,Consumo de combustible líquidos y Gas Natural agregado por planta o nodo según el caso (Series de tiempo)*Emisiones atmosféricas relacionadas con el tipo de combustible usado (Series de tiempo)*Evolución de la Confiabilidad de abastecimiento de combustibles líquidos y gas Natural (Series de tiempo)*Probabilidad de expansión de cobertura de gas combustible*Probabilidad de producción por campo a de gas natural a nivel nacional (Series de tiempo),Nacional,,,,,Anual,,,Publico en general ( Academia * Entidades Públicas y Privadas,,
ESCENARIOS DEL PLAN INDICATIVO DE EXPANSIÓN DE GAS COMBUSTIBLE,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,"Proyectar la oferta de gas combustible necesaria, para un adecuado abastecimiento en el país.",,,,Costos indicativos de infraestructura (loops y bombeo)*Costos indicativos de distribución y comercialización*Costos transporte Terrestre*Perfiles geográficos,Consumo de combustible líquidos y Gas Natural agregado por planta o nodo según el caso (Series de tiempo)*Emisiones atmosféricas relacionadas con el tipo de combustible usado (Series de tiempo)*Evolución de la Confiabilidad de abastecimiento de combustibles líquidos y gas Natural (Series de tiempo)*Probabilidad de expansión de cobertura de gas combustible*Probabilidad de producción por campo a de gas natural a nivel nacional (Series de tiempo),Nacional,,,,,No aplica,,,Publico en general ( Academia * Entidades Públicas y Privadas,,
ESCENARIOS DEL PLAN INDICATIVO DE EXPANSIÓN DE LA COBERTURA (PIEC),COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Estimar los escenarios de las inversiones necesarias para la universalización del servicio de energía eléctrica en el país.,,,,ICEE Cobertura del servicio de energía eléctrica*División político administrativa*Radiación solar*Velocidad del viento*Tarifas de energía*Histórico precios de proyectos que solicitan recursos a fondos estatales,Inversiones públicas*privadas para aumentar el servicio*Metas de cobertura para el periodo del plan*Estimativo del valor total de las inversiones necesarias para lograr la universalización del servicio energía eléctrica en el país,Nacional*Departamental*Municipal,,,,,Cuatrienal,,,Publico en general ( Academia * Entidades Públicas y Privadas),,
ESCENARIOS ENERGÉTICOS DE LARGO PLAZO (PLAN ENERGÉTICO NACIONAL),COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,UNIDAD DE PLANEACION MINERO ENERGÉTICA (UPME),MÚLTIPLES FUENTES,Elaborar los escenarios energéticos de largo plazo del Plan Energético Nacional en concordancia con el Plan Nacional de Desarrollo.,,,,"proyecciones de Demanda de Energía Eléctrica, Gas Natural, Combustibles líquidos entre otros- UPME*Potenciales y metas de eficiencia energética - Programa de Uso Racional y Eficiente de Energía y Fuentes No Convencionales en Colombia (PROURE) – UPME*Proyecciones de los precios del ACPM, FUEL OIL, JET, Gas Natural y Carbón para generación eléctrica – UPME*Escenarios del Plan de abastecimiento de combustibles líquidos*Escenarios del Plan indicativo de abastecimiento de Gas Natural*Escenarios del Plan indicativo de expansión de gas combustible*Variables Macroeconómicas como TRM* PIB (Banrep - DANE)*Costos de racionamiento energía eléctrica y gas natural – UPME*Balance Energético Nacional (UPME) Anual",Escenarios de energéticos*Demanda energética final en Colombia (demanda final todos los sectores de consumo)*Demanda energética primaria total en Colombia (energía primaria requerida para transformación para atender la demanda final)*Escenarios de demanda energética total en Colombia por combustible,Nacional,,,,,Cuatrienal,,,Público en general (Academia * Entidades Públicas y Privadas),,
ESCUELAS MUNICIPALES DE MÚSICA,COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,MINISTERIO DE CULTURA,REGISTRO ADMINISTRATIVO,"Producir la información estadística oficial acerca del fortalecimiento y consolidación de las Escuelas Municipales de Música existentes en todo el territorio nacional, a través de su seguimiento y acompañamiento.",,,,Identificación de la escuela*representante legal*ubicación*institucionalidad*infraestructura y dotación*participación*formación y producción,Número de escuelas creadas en el año actual*Número de escuelas creadas en el año anterior*Acumulado de escuelas municipales de música por departamento*Total municipios en el departamento*Escuelas municipales de música en el nivel de operación*Total escuelas municipales de música en el país*Escuelas del nivel de consolidación*Acumulado de escuelas fortalecidas*Acumulado de escuelas que aplican determinada práctica*Total de estudiantes de las escuelas municipales en el año actual*Total de profesores de las escuelas municipales en el año actual*Estudiantes por rango etario en las escuelas municipales en el año actual*Total estudiantes atendidos en el año anterior*Cantidad de docentes por nivel de formación*Inversión acumulada en capital en el departamento*Acumulado de población atendida en el departamento*Número de giras nacionales/internacionales realizadas*Gasto público en personal del año*Gastos en visitas y asesorías en el año*Acumulado de gasto en dotación didáctica*Acumulado de gasto en dotación instrumental.,Nacional*Departamental*Municipal,,,,,Anual,,,presidecia * min interior * min educación departamentos y municipios,,
"ESPECÍMENES CAPTURADOS PARA ESTUDIOS EPIDEMIOLÓGICOS, BAJO EL MÉTODO M.T.D. (MOSCA TRAMPA DÍA)",COLOMBIA,,,SECTOR PÚBLICO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),REGISTRO ADMINISTRATIVO,"Determinar el estatus fitosanitario de la zonas vigiladas del país, por medio de un registro de especímenes capturados (moscas) y los resultados de los análisis de laboratorio",,,,Redes de vigilancia (en predios o rutas)*especie vigilada*tipos de trampa*tipo de atrayente* tipo de vigilancia (nativas y ceratitis y bactrocera),Cifras de densidad en poblaciones de mosca de densidad de adultos y proporción sexual en campos a través de método MTD (Mosca Trampa Día)*Indicador - porcentaje de infestación se calcula dividiendo el número total de frutas infestadas entre el número total de frutas de la muestra y multiplicado por 100,Nacional*Departamental*Municipal,,,,,Trimestral,,,Dependencias del ICA como usuarios internos y como usuarios externos gremios Federacion Nacional de Cefeteros * FENALCE * FINAGRO universidades *Organización Nacional de Protección Fitosanitaria(ONPF) de otros países * Ministerio de Agricultura,,
ESTADÍSTICA CONSOLIDADA DE GESTIÓN JUDICIAL,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,CONSEJO SUPERIOR DE LA JUDICATURA (CSJ),REGISTRO ADMINISTRATIVO,Generar estadísticas de control de la gestión judicial y movimiento de procesos para atender las demandas de información estadística de la rama judicial y usuarios en general.,,,,Meses reportados*Movimiento de procesos por jurisdicción (ingresos*egresos*tipos de ingresos y egresos*inventario inicial con trámite*inventario final con trámite*inventario inicial sin trámite*inventario final sin trámite*ingresos efectivos y no efectivos)*oferta y demanda por jurisdicción*índice de evacuación parcial efectivo*cobertura de reporte total,Indicador de demanda del servicio: ingreso efectivo de procesos en el periodo i*Indicador de variación de la demanda: ingreso efectivo de procesos en el periodo i/ingreso efectivo de procesos en el periodo i-1*Indicador de estructura de la demanda judicial: ingreso efectivo de procesos por tipo de proceso en el periodo i /total de procesos efectivamente ingresados en el periodo i *Indicador de producción: egreso efectivo de procesos en el periodo i*Indicador de variación en la producción: egreso efectivo de procesos en el periodo i/egreso efectivo de procesos en el periodo i-1*Indicador de productividad o índice de evacuación parcial efectivo: egreso efectivo de procesos (por cada tipo de procesos)/ingreso efectivo de procesos (por cada tipo de procesos) en el periodo i*Cobertura de reporte: días reportados por cada despacho judicial/ días que debe reportar o hábiles en el año*Los anteriores indicadores se plantean a nivel nacional global y por especialidad.,Nacional,,,,,Anual Trimestral,,,"Externos 
 -Departamento Nacional de Planeación * Ministerio de Justicia * Banca Multilateral * Cancilleria.
 ONGs Nacionales e Internacionales 
 Academia 
 USUARIOS INTERNOS 
 -Escuela Judicial Rodrigo Lara Bonilla * area academica.
 - Unidad de Desarrollo y Analisis Estadistico * area reordenamiento y descongestion *
 - Unidad de Administracion de Carrera. area de incentivos
 Unidad de Infraestructura Fisica
 Unidad de Informatica 
 _Sala Administrativa CSJ para toma de decisiones .Plan Nacional de desarrollo",,
"ESTADÍSTICA DE ADOLESCENTES INFRACTORES DE LA LEY, VINCULADOS A PROCESOS JUDICIALES",COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF),REGISTRO ADMINISTRATIVO,"Llevar estadísticas sobre el comportamiento delictivo de los adolescentes, para conocer los delitos de mayor incidencia.",,,,número Adolescentes*Sexo*Edad*Municipio de procedencia*Delito,número de Adolescentes entre 14 y 17 años que ingresan al Sistema de responsabilidad penal adolescente,Nacional*Regional*Departamental*Municipal,,,,,Mensual,,,"Departamentoa Administrativo Nacional de Estadística -DANE - ICBF - Instituto Colombiano de Medicina Legal * Ministerio de Educación Nacional * Ministerio de Salud y Protección social * Policia Nacional * Unidad para la Atención y Reparación Integral a las Victimas * Registraduría Nacional del Estado Civil
 comunidad académica y científica * sociedad civil.",,
ESTADÍSTICA DE CONVERSIÓN DE VEHÍCULOS A GAS NATURAL,COLOMBIA,7 ENERGÍA ASEQUIBLE Y NO CONTAMINANTE,,SECTOR PÚBLICO,MINISTERIO DE MINAS Y ENERGÍA,REGISTRO ADMINISTRATIVO,"Llevar la estadística sobre las conversiones de vehículos a Gas Natural según las Metas establecidas en el PND 2014-2018 (2015: 535.506. 2016: 560.451, 2017: 585.395, CUATRENIO: 610.340)",,,,Año*Mes*Ciudad o Municipio*Departamento*Número de conversiones,Número de automotores convertidos a Gas Natural,Departamental,,,,,Mensual,,,Ministerio de Minas y Energìa * agremiaciones *,,
"ESTADÍSTICA DE LA INVESTIGACIÓN, JUDICIALIZACIÓN Y GESTIÓN DE LA CARGA LABORAL EN LEY 600",COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,FISCALÍA GENERAL DE LA NACIÓN,REGISTRO ADMINISTRATIVO,"Medir el desempeño de la entidad y sus dependencias en la investigación, judicialización y gestión de la carga laboral de los fiscales en ley 600",,,,Entradas*actuaciones*intervinientes*delitos y dependencias,Número de entradas*Número de entradas efectivas*Proporción de entradas por delito*Tasa de apertura de instrucción*Tasa de resolución de acusación*Tasa de condenas*Tasa de sentencias anticipadas*Tasa de inhibitorios*Índice de evacuación marginal*Tasa de conciliaciones*Carga laboral promedio por despacho* Carga de trabajo acumulada*Tasa de variación de la carga de trabajo acumulada,Nacional*Departamental*Municipal,,,,,Anual Mensual Semestral Trimestral,,,Departamento Nacional de Planeación * Ministerios de Defensa * Contraloria General de la República * Corporación Excelencia en la Justicia * Consejo Superior de la Judicatura * investigadores y ciudadanos,,
"ESTADÍSTICA DE LA INVESTIGACIÓN, JUDICIALIZACIÓN Y GESTIÓN DE LA CARGA LABORAL EN LEY 906",COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,FISCALÍA GENERAL DE LA NACIÓN,REGISTRO ADMINISTRATIVO,"Medir el desempeño de la entidad y sus dependencias en la investigación, judicialización y gestión de la carga laboral de los fiscales en ley 906",,,,Entradas*rupturas procesales*actuaciones*intervinientes*delitos y dependencias,Número de entradas*Número de entradas efectivas*Proporción de entradas por delito*Tasa de imputación*Tasa de escritos de acusación*Tasa de condenas *Tasa de acusación directa*Tasa de archivos*Índice de evacuación marginal*Tasa de conciliaciones*Carga laboral promedio por despacho*Carga de trabajo acumulada* Tasa de variación de la carga de trabajo acumulada,Nacional*Departamental*Municipal,,,,,Anual Mensual Semestral Trimestral,,,Departamento Nacional de Planeación * Ministerios de Defensa * Contraloria General de la República * Corporación Excelencia en la Justicia * Consejo Superior de la Judicatura * investigadores y ciudadanos,,
"ESTADÍSTICA DE LAS EMPRESAS VIGILADAS DEL SECTOR TRANSPORTE TERRESTRE, FÉRREO, AÉREO, PORTUARIO MARÍTIMO Y FLUVIAL",COLOMBIA,,,SECTOR PÚBLICO,SUPERINTENDENCIA DE PUERTOS Y TRANSPORTE,REGISTRO ADMINISTRATIVO,"Caracterizar y generar información estadística sobre las empresas que prestan el servicio público de transporte terrestre, férreo, portuario, marítimo, fluvial y aéreo en el país que son objeto de supervisión integral",,,,Identificación de la persona jurídica*estado de la empresa (activo*inactivo)*objeto social* PUC* Preoperativo*número de resolución de habilitación*Tipo vigilado portuario ( marítimo*fluvial)*Tipo vigilado portuario (marítimo*fluvial)*Sociedades Portuarias*Zonas portuarias*Operadores Portuarios*Empresas de transporte fluvial*Tipo de servicio ( público y privado)*Ciudad *Nit de empresa*Resolución Permiso de Operación-Empresa de Transporte Fluvial*Hidrovia (Fluvial),Total de empresas vigiladas por tipo * total de empresas vigiladas por delegada*Relación de concesionarios del sector portuario * sobre el universo de vigilados,Nacional*Área Metropolitana*Departamental*Municipal,,,,,Anual Mensual Semestral Trimestral,,,"-ministerio de transporte
 -ministerio de trabajo
 -departamento administrativo nacional de estadistica (dane)
 -superintendencia de puertos y transporte",,
